Cod_Loc,IdProvincia,IdDepartamento,Observaciones,categoria,subcategoria,provincia,localidad,nombre,direccion,piso,CP,cod_area,telefono,Mail,Web,Latitud,Longitud,TipoLatitudLongitud,Info_adicional,fuente,jurisdiccion,año_inauguracion,actualizacion
6588100,6,6588,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,9 de julio,Archivo Y Museo Histórico Gral. Julio De Vedia,Libertad 1191,,B6500EVL,2317,425 279,archivoymuseo@yahoo.com.ar,www.portaldel9.com.ar,-354.417.620,-608.875.980,Localización precisa,,DNPyM,Municipal,1920,2017
6077010,6,6077,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Arrecifes,Museo Y Archivo Histórico De Arrecifes,Gerardo Risso y España,,B2740FMJ,2478,452 931,museoarrecifes@hotmail.com,,-340.669.700,-601.025.550,Localización precisa,,DNPyM,Municipal,1972,2017
6035010,6,6035,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Avellaneda,Museo Histórico-Sacro  Hno. Rogelio Scortegagna,Calle 11 (Av. San Martín) Nº 830,,S3561AKT,3482,481 200,,,-291.180.240,-596.545.430,Localización precisa,,DNPyM,Municipal,,2017
6035010,6,6035,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Avellaneda,Museo Municipal De Artes Plásticas De Avellaneda,"Sarmiento 101, 1 º Piso",,B1870CBC,11,4205 9567,,,-346.621.100,-583.632.700,Localización precisa,,DNPyM,Municipal,1956,2017
6049020,6,6049,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Azul,Museo Etnográfico Y Archivo Histórico Enrique Squirru,Bartolomé J. Ronco 654,,B7300XAA,2281,434 811,museoazul@yahoo.com,,-367.818.240,-598.586.360,Localización precisa,,DNPyM,Privada,1949,2017
6056010,6,6056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Bellas Artes,Sarmiento 450,,B8000HQJ,291,459 4006,mac@bblanca.com.ar,,-387.131.000,-622.622.000,Localización precisa,,DNPyM,Municipal,1935,2017
6056010,6,6056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Ciencias,Castelli 3702,,B8003APV,291,488 3266,,,-386.928.000,-623.087.000,Localización precisa,,DNPyM,Municipal,1996,2017
6056010,6,6056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo Y Parque Estereoscópico El Histórico Café Museo,Italia 19,,B8000DKA,291,451 0675,,,-387.245.270,-622.737.350,Localización precisa,,DNPyM,Privada,2006,2017
6056010,6,6056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Arte Contemporáneo,Sarmiento 450,,B8000HQJ,291,459 4006,mac@bblanca.com.ar,,-387.131.000,-622.622.000,Localización precisa,,DNPyM,Municipal,2008,2017
6056010,6,6056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo Y Archivo Histórico Municipal,Dorrego 116 Sub Suelo,,B8000FLD,291,456 3117,,,-387.152.000,-622.603.000,Localización precisa,,DNPyM,Municipal,1951,2017
6063010,6,6063,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Balcarce,Museo Juan Manuel Fangio,Dardo Rocha y Bartolomé Mitre,,B7620BGN,2266,425 540,,,-378.505.600,-582.551.920,Localización precisa,,DNPyM,Privada,1986,2017
6063010,6,6063,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Balcarce,Museo Histórico Municipal,32 y 35 Emplazado en el Cerro el Triunfo,,B7620CFA,2266,421 800,,,-378.505.600,-582.551.920,Localización precisa,,DNPyM,Municipal,2008,2017
6490010,6,6490,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Banfield,Museo De Artes Plásticas Pío Collivadino,Medrano 165,,B1828IPC,11,4202 5223,,,-347.482.000,-583.946.000,Localización precisa,,DNPyM,Nacional,1992,2017
6070010,6,6070,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Baradero,Museo Aeronáutico Baradero Vicente 'Tito' Churín,Jorge Newbery 1450,,B2942EXR,3329,481 689,aeroclub_baradero@hotmail.com,,-338.176.420,-594.930.800,Localización precisa,,DNPyM,Privada,1996,2017
6756010,6,6756,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Beccar,Museo Lucy Mattos,Av. Libertador 17426,,B1643CRO,11,4732 2585,,,-344.589.530,-585.201.810,Localización precisa,,DNPyM,Privada,2012,2017
6098010,6,6098,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Museo De La Soda Y El Sifón,60 N° 768 / 128 (Rotonda),,B1924CKS,221,424 8537,,,-349.016.990,-579.219.880,Localización precisa,,DNPyM,Privada,,2017
6098010,6,6098,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Asociación 1871 Museo De Berisso,Av. 32 Esq. Montevideo,,1923,221,461 3166,,,-348.770.620,-578.563.380,Localización precisa,,DNPyM,Privada,2012,2017
6098010,6,6098,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Museo Ornitolólogico Municipal De Berisso,Montevideo 821,,B1923HMH,221,464 5574,,,-348.687.000,-578.837.000,Localización precisa,,DNPyM,Municipal,1986,2017
6658010,6,6658,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bernal,Museo Municipal Histórico Regional Almirante Brown,25 de mayo 0198,,B1876AWD,11,4252 5508,,,-347.123.000,-582.849.000,Localización precisa,,DNPyM,Municipal,,2017
6028010,6,6028,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Burzaco,Museo Claudio León Sempere,Colón 581,,B1852BSE,11,4299 7279,,,-347.918.000,-583.503.000,Localización precisa,,DNPyM,Privada,1986,2017
6266020,6,6266,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Capilla del Señor,Museo Del Periodismo Bonaerense,Rivadavia 477,,B2812DII,,,,,-342.943.050,-590.985.210,Localización precisa,,DNPyM,Municipal,1972,2017
6266020,6,6266,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Capilla del Señor,Museo De Arte Sacro Amalia Sosa Palacio De Carol,Bolívar 338,,B2812AVH,2323,492 981,,,-342.954.690,-591.006.590,Localización precisa,,DNPyM,Privada,2007,2017
6007010,6,6007,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carhue,Museo Regional Dr. Adolfo Alsina,Rivadavia y Laprida,,6430,2936,430 967,,,-371.811.840,-627.616.670,Localización precisa,,DNPyM,Municipal,1967,2017
6602030,6,6602,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Histórico Regional Emma Nozzi,J.J.Biedma 64,,B8504BVB,2920,462 729,,,-408.032.650,-629.858.050,Localización precisa,,DNPyM,Provincial,1951,2017
6602030,6,6602,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Carmen De Patagones De La Prefectura Naval Argentina,Mitre 350,,B8504BUF,2920,461 742,,,-407.995.460,-629.900.960,Localización precisa,,DNPyM,Nacional,1998,2017
6840010,6,6840,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Caseros,Palacio San José - Museo Y Monumento Histórico Nacional Justo José De Urquiza,Ruta Provincial 39 Km. 128 (Desvio al Norte 3 Km.),,E3262AZR,3442,432 620,,,-324.666.940,-584.780.980,Localización precisa,,DNPyM,Nacional,1936,2017
6210020,6,6210,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chacabuco,Museo Y Archivo Histórico,Moreno 171,,B6740EGC,2352,426 699,,,-346.409.000,-604.669.000,Localización precisa,,DNPyM,Municipal,,2017
6357080,6,6357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chapadmalal,Museo Unidad Turística Chapadmalal Eva Perón,Ruta Nº 11 Km 33.5 Hotel Nº 5.,,5857,223,469 9291,,,-381.780.510,-576.513.720,Localización precisa,,DNPyM,Nacional,,2017
6217010,6,6217,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chascomus,Museo Pampeano,Avda. Lastra y Muñiz,,B7130FRA,2241,430 982,,,-355.779.980,-580.171.130,Localización precisa,,DNPyM,Municipal,1941,2017
